"Plot Title: 21416056"
"#","Date Time, GMT-02:30","Temp, °C (LGR S/N: 21416056, SEN S/N: 21416056, LBL: Temperature)","Intensity, Lux (LGR S/N: 21416056, SEN S/N: 21416056, LBL: Light)","Host Connected (LGR S/N: 21416056)","Coupler Attached (LGR S/N: 21416056)","Stopped (LGR S/N: 21416056)","End Of File (LGR S/N: 21416056)"
1,06/14/23 09:00:00  AM,10.748,172.2,,,,
2,06/14/23 09:10:00  AM,13.365,43.1,,,,
3,06/14/23 09:20:00  AM,17.094,0.0,,,,
4,06/14/23 09:30:00  AM,23.869,0.0,,,,
5,06/14/23 09:40:00  AM,25.125,0.0,,,,
6,06/14/23 09:50:00  AM,19.948,34444.7,,,,
7,06/14/23 10:00:00  AM,17.094,57867.0,,,,
8,06/14/23 10:10:00  AM,16.332,35822.5,,,,
9,06/14/23 10:20:00  AM,17.189,44089.2,,,,
10,06/14/23 10:30:00  AM,16.141,38578.0,,,,
11,06/14/23 10:40:00  AM,15.855,38578.0,,,,
12,06/14/23 10:50:00  AM,15.855,26178.0,,,,
13,06/14/23 11:00:00  AM,15.760,24800.2,,,,
14,06/14/23 11:10:00  AM,16.808,37200.2,,,,
15,06/14/23 11:20:00  AM,17.665,26178.0,,,,
16,06/14/23 11:30:00  AM,17.570,26178.0,,,,
17,06/14/23 11:40:00  AM,17.570,23422.4,,,,
18,06/14/23 11:50:00  AM,19.758,66133.8,,,,
19,06/14/23 12:00:00  PM,22.429,74400.5,,,,
20,06/14/23 12:10:00  PM,21.473,33066.9,,,,
21,06/14/23 12:20:00  PM,20.424,26178.0,,,,
22,06/14/23 12:30:00  PM,20.043,22044.6,,,,
23,06/14/23 12:40:00  PM,19.472,22044.6,,,,
24,06/14/23 12:50:00  PM,19.758,20666.8,,,,
25,06/14/23 01:00:00  PM,20.138,19977.9,,,,
26,06/14/23 01:10:00  PM,20.615,19289.0,,,,
27,06/14/23 01:20:00  PM,20.615,18600.1,,,,
28,06/14/23 01:30:00  PM,20.615,17911.2,,,,
29,06/14/23 01:40:00  PM,20.519,17222.3,,,,
30,06/14/23 01:50:00  PM,20.424,16533.4,,,,
31,06/14/23 02:00:00  PM,20.519,16533.4,,,,
32,06/14/23 02:10:00  PM,20.901,16533.4,,,,
33,06/14/23 02:20:00  PM,20.329,13777.9,,,,
34,06/14/23 02:30:00  PM,19.853,12400.1,,,,
35,06/14/23 02:40:00  PM,19.758,14466.8,,,,
36,06/14/23 02:50:00  PM,20.805,14466.8,,,,
37,06/14/23 03:00:00  PM,20.329,12400.1,,,,
38,06/14/23 03:10:00  PM,19.377,12400.1,,,,
39,06/14/23 03:20:00  PM,19.187,10677.8,,,,
40,06/14/23 03:30:00  PM,18.711,9644.5,,,,
41,06/14/23 03:40:00  PM,18.426,9644.5,,,,
42,06/14/23 03:50:00  PM,18.521,10333.4,,,,
43,06/14/23 04:00:00  PM,18.711,9644.5,,,,
44,06/14/23 04:10:00  PM,18.616,9300.1,,,,
45,06/14/23 04:20:00  PM,18.521,8611.2,,,,
46,06/14/23 04:30:00  PM,18.426,8266.7,,,,
47,06/14/23 04:40:00  PM,18.711,8266.7,,,,
48,06/14/23 04:50:00  PM,18.521,7577.8,,,,
49,06/14/23 05:00:00  PM,18.236,7577.8,,,,
50,06/14/23 05:10:00  PM,17.760,6544.5,,,,
51,06/14/23 05:20:00  PM,17.379,6200.0,,,,
52,06/14/23 05:30:00  PM,17.189,5166.7,,,,
53,06/14/23 05:40:00  PM,16.903,5338.9,,,,
54,06/14/23 05:50:00  PM,16.713,4994.5,,,,
55,06/14/23 06:00:00  PM,16.523,4305.6,,,,
56,06/14/23 06:10:00  PM,16.427,4133.4,,,,
57,06/14/23 06:20:00  PM,16.141,3444.5,,,,
58,06/14/23 06:30:00  PM,15.855,3100.0,,,,
59,06/14/23 06:40:00  PM,15.473,2755.6,,,,
60,06/14/23 06:50:00  PM,15.187,2669.5,,,,
61,06/14/23 07:00:00  PM,14.996,2325.0,,,,
62,06/14/23 07:10:00  PM,14.709,1980.6,,,,
63,06/14/23 07:20:00  PM,14.421,1980.6,,,,
64,06/14/23 07:30:00  PM,14.230,1894.5,,,,
65,06/14/23 07:40:00  PM,13.942,1636.1,,,,
66,06/14/23 07:50:00  PM,13.558,1324.0,,,,
67,06/14/23 08:00:00  PM,13.173,1087.2,,,,
68,06/14/23 08:10:00  PM,12.690,699.7,,,,
69,06/14/23 08:20:00  PM,12.304,441.3,,,,
70,06/14/23 08:30:00  PM,11.819,301.4,,,,
71,06/14/23 08:40:00  PM,11.431,269.1,,,,
72,06/14/23 08:50:00  PM,11.139,193.8,,,,
73,06/14/23 09:00:00  PM,10.944,75.3,,,,
74,06/14/23 09:10:00  PM,10.651,32.3,,,,
75,06/14/23 09:20:00  PM,10.357,10.8,,,,
76,06/14/23 09:30:00  PM,10.161,0.0,,,,
77,06/14/23 09:40:00  PM,9.965,0.0,,,,
78,06/14/23 09:50:00  PM,9.669,0.0,,,,
79,06/14/23 10:00:00  PM,9.472,0.0,,,,
