"Plot Title: 21405902"
"#","Date Time, GMT-02:30","Temp, °C (LGR S/N: 21405902, SEN S/N: 21405902, LBL: Temperature)","Intensity, Lux (LGR S/N: 21405902, SEN S/N: 21405902, LBL: Light)","Coupler Attached (LGR S/N: 21405902)","Coupler Detached (LGR S/N: 21405902)","Host Connected (LGR S/N: 21405902)","Stopped (LGR S/N: 21405902)","End Of File (LGR S/N: 21405902)"
1,06/14/23 09:00:00  PM,9.571,452.1,,,,,
2,06/14/23 09:10:00  PM,9.176,236.8,,,,,
3,06/14/23 09:20:00  PM,8.978,107.6,,,,,
4,06/14/23 09:30:00  PM,8.779,21.5,,,,,
5,06/14/23 09:40:00  PM,8.581,0.0,,,,,
6,06/14/23 09:50:00  PM,8.282,0.0,,,,,
7,06/14/23 10:00:00  PM,8.082,0.0,,,,,
8,06/14/23 10:10:00  PM,7.882,0.0,,,,,
9,06/14/23 10:20:00  PM,7.682,0.0,,,,,
10,06/14/23 10:30:00  PM,7.682,0.0,,,,,
11,06/14/23 10:40:00  PM,7.481,0.0,,,,,
12,06/14/23 10:50:00  PM,7.481,0.0,,,,,
13,06/14/23 11:00:00  PM,7.381,0.0,,,,,
14,06/14/23 11:10:00  PM,7.079,0.0,,,,,
15,06/14/23 11:20:00  PM,6.877,0.0,,,,,
16,06/14/23 11:30:00  PM,6.877,0.0,,,,,
17,06/14/23 11:40:00  PM,6.674,0.0,,,,,
18,06/14/23 11:50:00  PM,6.573,0.0,,,,,
19,06/15/23 12:00:00  AM,6.674,0.0,,,,,
20,06/15/23 12:10:00  AM,6.674,0.0,,,,,
21,06/15/23 12:20:00  AM,6.674,0.0,,,,,
22,06/15/23 12:30:00  AM,6.471,0.0,,,,,
23,06/15/23 12:40:00  AM,6.268,0.0,,,,,
24,06/15/23 12:50:00  AM,6.166,0.0,,,,,
25,06/15/23 01:00:00  AM,6.064,0.0,,,,,
26,06/15/23 01:10:00  AM,6.064,0.0,,,,,
27,06/15/23 01:20:00  AM,6.064,0.0,,,,,
28,06/15/23 01:30:00  AM,6.064,0.0,,,,,
29,06/15/23 01:40:00  AM,5.962,0.0,,,,,
30,06/15/23 01:50:00  AM,5.860,0.0,,,,,
31,06/15/23 02:00:00  AM,5.757,0.0,,,,,
32,06/15/23 02:10:00  AM,5.552,0.0,,,,,
33,06/15/23 02:20:00  AM,5.244,0.0,,,,,
34,06/15/23 02:30:00  AM,4.934,0.0,,,,,
35,06/15/23 02:40:00  AM,4.727,0.0,,,,,
36,06/15/23 02:50:00  AM,4.519,0.0,,,,,
37,06/15/23 03:00:00  AM,4.311,0.0,,,,,
38,06/15/23 03:10:00  AM,4.311,0.0,,,,,
39,06/15/23 03:20:00  AM,4.311,0.0,,,,,
40,06/15/23 03:30:00  AM,4.519,0.0,,,,,
41,06/15/23 03:40:00  AM,4.623,0.0,,,,,
42,06/15/23 03:50:00  AM,4.519,0.0,,,,,
43,06/15/23 04:00:00  AM,4.519,0.0,,,,,
44,06/15/23 04:10:00  AM,4.415,0.0,,,,,
45,06/15/23 04:20:00  AM,4.311,0.0,,,,,
46,06/15/23 04:30:00  AM,4.207,0.0,,,,,
47,06/15/23 04:40:00  AM,4.311,10.8,,,,,
