"Plot Title: 21405911"
"#","Date Time, GMT-02:30","Temp, °C (LGR S/N: 21405911, SEN S/N: 21405911, LBL: Temperature)","Intensity, Lux (LGR S/N: 21405911, SEN S/N: 21405911, LBL: Light)","Coupler Attached (LGR S/N: 21405911)","Host Connected (LGR S/N: 21405911)","Stopped (LGR S/N: 21405911)","End Of File (LGR S/N: 21405911)"
1,06/14/23 09:00:00  AM,9.965,150.7,,,,
2,06/14/23 09:10:00  AM,12.304,53.8,,,,
3,06/14/23 09:20:00  AM,13.269,215.3,,,,
4,06/14/23 09:30:00  AM,14.230,258.3,,,,
5,06/14/23 09:40:00  AM,14.900,107.6,,,,
6,06/14/23 09:50:00  AM,15.473,129.2,,,,
7,06/14/23 10:00:00  AM,17.094,8611.2,,,,
8,06/14/23 10:10:00  AM,17.284,473.6,,,,
9,06/14/23 10:20:00  AM,16.713,226.0,,,,
10,06/14/23 10:30:00  AM,16.427,139.9,,,,
11,06/14/23 10:40:00  AM,16.046,139.9,,,,
12,06/14/23 10:50:00  AM,16.046,279.9,,,,
13,06/14/23 11:00:00  AM,16.332,129.2,,,,
14,06/14/23 11:10:00  AM,16.903,0.0,,,,
15,06/14/23 11:20:00  AM,17.094,0.0,,,,
16,06/14/23 11:30:00  AM,17.379,0.0,,,,
17,06/14/23 11:40:00  AM,17.665,0.0,,,,
18,06/14/23 11:50:00  AM,17.855,0.0,,,,
19,06/14/23 12:00:00  PM,18.045,0.0,,,,
20,06/14/23 12:10:00  PM,18.236,0.0,,,,
21,06/14/23 12:20:00  PM,18.521,247.6,,,,
22,06/14/23 12:30:00  PM,19.567,64.6,,,,
23,06/14/23 12:40:00  PM,20.138,10.8,,,,
24,06/14/23 12:50:00  PM,20.615,75.3,,,,
25,06/14/23 01:00:00  PM,20.901,269.1,,,,
26,06/14/23 01:10:00  PM,21.473,43.1,,,,
27,06/14/23 01:20:00  PM,21.664,624.3,,,,
28,06/14/23 01:30:00  PM,21.951,1463.9,,,,
29,06/14/23 01:40:00  PM,22.717,183.0,,,,
30,06/14/23 01:50:00  PM,23.581,193.8,,,,
31,06/14/23 02:00:00  PM,32.807,154312.1,,,,
32,06/14/23 02:10:00  PM,36.295,154312.1,,,,
33,06/14/23 02:20:00  PM,35.115,115734.1,,,,
34,06/14/23 02:30:00  PM,33.326,66133.8,,,,
35,06/14/23 02:40:00  PM,32.600,79911.6,,,,
36,06/14/23 02:50:00  PM,33.848,126756.4,,,,
37,06/14/23 03:00:00  PM,33.222,104711.8,,,,
38,06/14/23 03:10:00  PM,33.535,66133.8,,,,
39,06/14/23 03:20:00  PM,32.600,63378.2,,,,
40,06/14/23 03:30:00  PM,30.862,88178.4,,,,
41,06/14/23 03:40:00  PM,30.255,63378.2,,,,
42,06/14/23 03:50:00  PM,30.054,57867.0,,,,
43,06/14/23 04:00:00  PM,30.154,55111.5,,,,
44,06/14/23 04:10:00  PM,30.054,49600.3,,,,
45,06/14/23 04:20:00  PM,28.456,46844.8,,,,
46,06/14/23 04:30:00  PM,27.961,44089.2,,,,
47,06/14/23 04:40:00  PM,26.585,42711.4,,,,
48,06/14/23 04:50:00  PM,26.000,38578.0,,,,
49,06/14/23 05:00:00  PM,25.513,37200.2,,,,
50,06/14/23 05:10:00  PM,24.835,33066.9,,,,
51,06/14/23 05:20:00  PM,23.869,33066.9,,,,
52,06/14/23 05:30:00  PM,23.196,27555.7,,,,
53,06/14/23 05:40:00  PM,22.908,28933.5,,,,
54,06/14/23 05:50:00  PM,22.717,26178.0,,,,
55,06/14/23 06:00:00  PM,21.855,22044.6,,,,
56,06/14/23 06:10:00  PM,20.519,20666.8,,,,
