"Plot Title: 21405913"
"#","Date Time, GMT-02:30","Temp, °C (LGR S/N: 21405913, SEN S/N: 21405913, LBL: Temperature)","Intensity, Lux (LGR S/N: 21405913, SEN S/N: 21405913, LBL: Light)","Host Connected (LGR S/N: 21405913)","Coupler Attached (LGR S/N: 21405913)","Stopped (LGR S/N: 21405913)","End Of File (LGR S/N: 21405913)"
1,06/14/23 09:00:00  AM,9.965,172.2,,,,
2,06/14/23 09:10:00  AM,12.207,43.1,,,,
3,06/14/23 09:20:00  AM,13.461,279.9,,,,
4,06/14/23 09:30:00  AM,14.517,322.9,,,,
5,06/14/23 09:40:00  AM,15.378,75.3,,,,
6,06/14/23 09:50:00  AM,15.855,86.1,,,,
7,06/14/23 10:00:00  AM,16.618,258.3,,,,
8,06/14/23 10:10:00  AM,16.999,21.5,,,,
9,06/14/23 10:20:00  AM,17.094,32.3,,,,
10,06/14/23 10:30:00  AM,17.950,10.8,,,,
11,06/14/23 10:40:00  AM,18.331,10.8,,,,
12,06/14/23 10:50:00  AM,17.950,64.6,,,,
13,06/14/23 11:00:00  AM,17.760,43.1,,,,
14,06/14/23 11:10:00  AM,17.855,0.0,,,,
15,06/14/23 11:20:00  AM,17.855,0.0,,,,
16,06/14/23 11:30:00  AM,18.045,0.0,,,,
17,06/14/23 11:40:00  AM,18.140,0.0,,,,
18,06/14/23 11:50:00  AM,18.331,0.0,,,,
19,06/14/23 12:00:00  PM,18.426,0.0,,,,
20,06/14/23 12:10:00  PM,18.616,0.0,,,,
21,06/14/23 12:20:00  PM,18.711,183.0,,,,
22,06/14/23 12:30:00  PM,19.187,1022.6,,,,
23,06/14/23 12:40:00  PM,19.662,624.3,,,,
24,06/14/23 12:50:00  PM,20.043,21.5,,,,
25,06/14/23 01:00:00  PM,20.424,1894.5,,,,
26,06/14/23 01:10:00  PM,21.282,0.0,,,,
27,06/14/23 01:20:00  PM,21.282,53.8,,,,
28,06/14/23 01:30:00  PM,21.378,75.3,,,,
29,06/14/23 01:40:00  PM,21.855,0.0,,,,
30,06/14/23 01:50:00  PM,22.717,0.0,,,,
31,06/14/23 02:00:00  PM,23.388,107.6,,,,
32,06/14/23 02:10:00  PM,23.773,0.0,,,,
33,06/14/23 02:20:00  PM,23.773,0.0,,,,
34,06/14/23 02:30:00  PM,23.581,0.0,,,,
35,06/14/23 02:40:00  PM,23.196,0.0,,,,
36,06/14/23 02:50:00  PM,23.100,0.0,,,,
37,06/14/23 03:00:00  PM,22.812,0.0,,,,
38,06/14/23 03:10:00  PM,22.621,0.0,,,,
39,06/14/23 03:20:00  PM,22.429,0.0,,,,
40,06/14/23 03:30:00  PM,22.238,0.0,,,,
41,06/14/23 03:40:00  PM,22.142,0.0,,,,
42,06/14/23 03:50:00  PM,22.046,0.0,,,,
